pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH054114000,10,0.001502968,6653.499998,80,0.675369796,0.5786,0.294554455,0.247716895,1.866666667,central
PH054115000,63,0.009610251,6555.5,82.65596465,31.15674473,0.4498,0.563922642,0.313879856,1.866666667,central
PH054116000,19,0.003270787,5809.000001,80.07326917,44.7666127,0.4073,0.714937286,0.411653065,1.866666667,central
PH054117000,15,0.001074768,13956.50001,78.12562768,46.73967323,0.4765,0.650687228,0.301742919,1.866666667,central
PH054118000,24,0.004163595,5764.25,80.14325553,9.004971841,0.4051,0.330924588,0.319066148,1.866666667,central
PH054120000,28,0.002399623,11668.5,80,1.710959256,0.528,0.414298808,0.289133313,1.866666667,central
PH056202000,1,0.000190567,5247.499999,75.18329588,47.81699665,0.2939,0.675438596,0.674603175,2.8,central
PH056203000,19,0.000759423,25018.99999,90.1240165,22.23833644,0.3266,0.361685601,0.58146422,2.8,central
PH056205000,1,0.000121795,8210.499992,75.58097356,45.34740415,0.2871,0.809819413,0.6875,2.8,central
PH056206000,14,0.000968406,14456.75,76.98985868,39.66117132,0.4223,0.408120007,0.534404044,2.8,central
PH056207000,25,0.002011627,12427.75,79.86873649,28.03163315,0.4413,0.280335544,0.42118611,2.8,central
PH056209000,8,0.000564752,14165.5,83.2488371,31.57702,0.2845,0.538927412,0.696709083,2.8,central
PH056211000,11,0.001187969,9259.500012,83.14014245,30.45418675,0.4412,0.34832664,0.489558233,2.8,central
PH056212000,79,0.007688377,10275.25,92.58851487,21.25359627,0.4521,0.257098359,0.495147957,2.8,central
PH056213000,53,0.002843195,18641,79.54229913,33.15860295,0.4252,0.360877123,0.465106952,2.8,central
PH056214000,23,0.004099456,5610.5,70,68.42959275,0.307,0.696499686,0.607584329,2.8,central
PH056215000,10,0.002374169,4211.999999,85.79122605,30.57662227,0.3554,0.408419292,0.513799833,2.8,central
PH056216000,42,0.000999346,42027.49999,70,55.91882189,0.1951,0.78845662,0.70165024,2.8,central
PH061909000,3,0.000260225,11528.5,40,149.7338907,0.308,0.908575608,0.454287804,1.210526316,central
